course_num,credits,type,SLN
re411,3,I&S,22924
cep301,5,I&S,12137
cep301,5,I&S,12138
cep301,5,I&S,12139
cep301,5,I&S,12140
cep446,5,N/A,12143
cep460,5,I&S,12144
cep460,5,I&S,12145
cep498,1,I&S,12148
ba490,1,N/A,10751
bcmu490,1,N/A,10969
entre472,4,N/A,14770
entre472,4,N/A,14771
ibus491,1,N/A,16358
ibus491,1,N/A,16360
ibus491,1,N/A,16361
ibus491,1,N/A,16362
ibus491,1,N/A,16363
ibus491,1,N/A,16364
educ401,1,I&S,14245
educ401,1,I&S,14253
educ411,1,VLPA,14259
cheme325,4,N/A,23634
cheme325,4,N/A,23635
cheme436,3,N/A,12570
cheme436,3,N/A,12571
cheme436,3,N/A,23491
cheme436,3,N/A,23492
cheme440,3,N/A,12572
cheme440,3,N/A,12573
cheme455,3,N/A,12575
cheme455,3,N/A,12576
cheme455,3,N/A,12577
cee317,5,N/A,12080
cee317,5,N/A,12081
cee317,5,N/A,12082
cee317,5,N/A,12083
cee337,5,N/A,12085
cee337,5,N/A,12086
cee337,5,N/A,12087
cee347,5,N/A,12089
cee347,5,N/A,12090
cee347,5,N/A,12091
cee347,5,N/A,12092
cee347,5,N/A,12093
cee347,5,N/A,12094
cee347,5,N/A,12095
cee347,5,N/A,12096
cee352,5,N/A,12099
cee463,2,NW,12110
cee463,2,NW,12111
ee233,5,N/A,13822
ee233,5,N/A,13823
ee233,5,N/A,13824
ee233,5,N/A,13825
ee235,5,N/A,13827
ee235,5,N/A,13828
ee235,5,N/A,13829
ee235,5,N/A,13830
ee235,5,N/A,23814
ee331,5,N/A,13834
ee331,5,N/A,13835
ee331,5,N/A,13836
ee332,5,N/A,13838
ee332,5,N/A,13839
ee341,5,N/A,13841
ee341,5,N/A,13842
ee351,5,N/A,13844
ee351,5,N/A,13845
ee351,5,N/A,23642
ee452,5,N/A,13862
ee452,5,N/A,13863
engr197,1,N/A,14688
engr197,1,N/A,14689
engr197,1,N/A,14690
engr197,1,N/A,14691
engr197,1,N/A,14692
engr197,1,N/A,14693
engr401,3,"I&S,DIV",14744
engr498,1,N/A,14757
hcde210,3,I&S,15983
hcde210,3,I&S,15984
hcde210,3,I&S,15985
mse311,3,N/A,18782
mse311,3,N/A,18783
mse466,3,N/A,18789
mse466,3,N/A,18790
me354,5,N/A,17848
me354,5,N/A,17849
me354,5,N/A,17850
